,payer,denialreason,flowcharts
131,PPO One - United Healthcare Medicare HMOPOS-AARP,Invalid  or Missing HCPCS/DX/POS/MOD,"Claim denied due to missing/incomplete/invalid procedure code:

1. Review claim status in software
   - If claim billed and no response received, proceed to step 2
   - If claim processed and denied, proceed to step 2

2. Check claim status in UHC portal
   - If claim found and processed, note denial reason and date
   - If claim not found, proceed to step 4

3. Compare denial reason with Medicare guidelines
   - If denial is valid, proceed to step 4
   - If denial is invalid, proceed to step 5

4. Verify denial with PPO One - United Healthcare Medicare representative
   - Confirm denial reason and Medicare guidelines adherence
   - Note representative's name and any provided instructions

5. Check previous claims with same procedure code
   - If previous claims were denied for the same reason, proceed to step 4
   - If previous claims were paid, proceed to step 6

6. Request valid procedure code from client
   - Provide explanation of Medicare guidelines and required corrections
   - Task client to send corrected claim with valid procedure code

7. If denial is due to invalid POS:
   - Check eligibility in UHC portal for patient's plan
   - If plan is delegated to Optum, proceed to Optum portal
   - Verify claim status and denial reason in Optum portal
   - If claim is denied in Optum, note the claim number and denial reason
   - Task client to send corrected claim with appropriate POS (e.g., change from 11 to 12)

8. If denial is due to missing modifier:
   - Verify payment history for similar claims
   - If previously paid without modifier, proceed to step 9
   - If never paid with modifier, task client to add required modifier

9. For claims that were partially paid despite meeting contract requirements:
   - Note the difference between paid and allowed amounts
   - Prepare and submit appeal
   - Upload all relevant documents to Vital Systems

10. If unable to resolve through above steps:
    - Escalate to supervisor for further guidance
    - Consider initiating a formal review with the insurance provider

11. Document all actions taken in the claim notes
    - Include representative names, claim numbers, and important conversation details

12. Set a follow-up date to check claim status after correction/submission
    - If no response received within expected timeframe, repeat from step 1"
132,PPO One - United Healthcare Choice Plus,Paid - Balance Adjustment,"Claim denied due to Paid - Balance Adjustment:

1. Review claim status in Caretend/Caretend software.
2. Check EOB in Waystar for claim processing details.
3. Verify allowed amounts for each HCPCS code in process document/fee schedule.
4. Calculate total allowed amount for all line items.
5. Compare total allowed amount with paid amount.
6. If underpaid:
   a. Call PPO One - United Healthcare Choice Plus customer service.
   b. Verify claim status and payment details.
   c. Confirm if payment was made as in-network or out-of-network.
   d. Ask for breakdown of payment (allowed vs. paid) and any patient responsibility.
7. If payment was made as in-network:
   a. Place contractual adjustment form in the path.
   b. Task claim to client for contractual adjustment.
8. If payment was made as out-of-network:
   a. Verify if there's another insurance covering the member.
   b. If no other insurance, proceed with contractual adjustment.
   c. Place contractual adjustment form in the path.
   d. Task claim to client for contractual adjustment.
9. If overpaid (payment received was more than allowed amount):
   a. Check previous invoices for fee schedule information.
   b. Verify if payment was correct based on fee schedule.
   c. If overpayment is correct, no further action needed.
   d. If overpayment is incorrect, place adjustment form to reduce payment.
10. For claims with PTR (Patient Responsibility):
    a. Verify if PTR is correct based on patient's coverage.
    b. If PTR is incorrect, task claim to client for adjustment.
11. If claim status is unclear:
    a. Check UHC web portal for claim processing information.
    b. If no information found in UHC web portal, follow up with PPO.
12. For Medicare Dual Complete plans:
    a. Follow steps 1-8, then proceed to step 13.
    b. Verify if payment is correct based on Medicare and secondary insurance fees.
13. If adjustment is needed:
    a. Place adjustment form in appropriate system (Connect, Caretend, etc.).
    b. Task claim to client for contractual adjustment.
14. Document all actions taken in claim notes.
15. Set follow-up date to check status of adjustment request.
16. If adjustment is not accepted, consider appeal process."
133,Blue Cross of Mississippi - ITS,No Coverage,"Claim denied due to ""No Coverage"" or ""Expenses incurred after coverage terminated"":

1. Check claim status in Caretend or software
   - Verify if claim is denied due to ""No Coverage"" or ""Expenses incurred after coverage terminated""

2. Review EOB in Waystar
   - Confirm denial reason and date
   - Check if claim is denied for the same reason as in step 1

3. Check eligibility details in Myaccessblue portal
   - Verify patient's insurance status and effective dates
   - Check if member is active for the date of service (DOS)

4. If member is not active for DOS:
   a. Check Patient Insurance Policy in software
      - Look for any other active insurance policies
   b. If another BCBS of MS policy found:
      - Note the member ID and policy details
   c. Check Eligibility in Availity or Myaccessblue portal
      - Verify if the new policy is active for DOS

5. If new policy is active:
   a. Call BCBS of MS or insurance provider
      - Confirm the new policy details and member ID
      - Verify if the new policy is primary or secondary

6. If new policy is primary:
   a. Check Authorization# in Document manager or Authorization TAB
      - Verify if authorization is required for the procedure
   b. If authorization is required:
      - Note the authorization number and details
   c. Credit bill the claim to the new primary insurance
      - Use the correct member ID and authorization number if required
   d. Create a new invoice in the software with the correct details

7. If new policy is secondary:
   a. Check Medicare portal or UHC portal
      - Verify if Medicare is active for DOS
   b. If Medicare is active:
      - Task the client to submit claim to Medicare as primary insurance
      - Ensure HCPCS codes fall under Medicare guidelines

8. If no other active insurance found:
   a. Task the claim to the client
      - Instruct to bill any active insurance or bill to the patient

9. For all scenarios:
   a. Document all actions taken in the claim notes
   b. Update the claim status in the software
   c. Set a follow-up date to check on the status of the claim or next steps

10. If denial persists after credit billing or client instruction:
    a. Consider filing an appeal with the insurance provider
    b. Gather all necessary documentation and supporting evidence
    c. Submit appeal within the specified time frame

11. Monitor the status of the claim until resolution
    a. Check Waystar or Caretend regularly for updates
    b. Follow up with insurance provider if additional information is needed

12. If claim is eventually paid:
    a. Verify the payment amount and date
    b. Update the account in the software

13. If claim is denied after appeal:
    a. Review the denial reason
    b. Consider consulting with a supervisor for further action
    c. If necessary, write off the claim in the software"
134,Aetna Medicare PPO Advantage Plan,Non-covered charges/Services,"Claim denied due to experimental/investigational status:

1. Review claim status in software (e.g., Caretend, Waystar).
2. Check claim processing status in Waystar or Availity.
3. Call Aetna Medicare PPO Advantage Plan to inquire about denial reason.
4. If claim is denied as experimental under CPV145:
   a. Verify if clinical records are available.
   b. If clinical records are missing, task client to provide clinical records for reconsideration.
   c. Submit reconsideration along with medical records via fax.
5. If claim is denied as non-covered:
   a. Check Medicare Guidelines and NCDs.
   b. Verify if Per Diem code is used; if yes, correct claim is needed with appropriate coding.
   c. If incorrect, check for other denial reasons (e.g., missing SH modifier).
6. If claim is partially paid:
   a. Review line items for missing or invalid procedure codes.
   b. Investigate enrollment status (inpatient vs. outpatient).
   c. If inpatient enrollment found, task client for clarification.
7. If claim was previously paid for similar services:
   a. Inform Aetna representative about the previously paid invoice.
   b. Request claim reprocessing.
   c. Note the reprocessing ticket number.
8. If claim is sent back for reprocessing:
   a. Wait 30-45 calendar days for reprocessing.
   b. If no reprocessing occurs within the given timeframe, follow up with Aetna.
9. If claim is denied due to incorrect coverage type:
   a. Verify patient's benefits and eligibility.
   b. If incorrectly denied as dental, allow 30-45 calendar days for manual review.
   c. If still incorrect after manual review, escalate to a supervisor.
10. For home infusion claims:
    a. Check if nursing benefits are covered under the patient's plan.
    b. If not covered, task client to bill the patient or seek further assistance.
11. If all above steps are exhausted and denial persists:
    a. Consider filing an appeal with Aetna.
    b. Gather all relevant medical records and documentation.
    c. Submit appeal via mail or fax, as per Aetna's instructions.
12. Monitor claim status regularly after appeal submission.
13. If reprocessing or appeal is successful:
    a. Verify payment in Waystar or Availity.
    b. If partially paid, ensure the correct amount is received.
14. If denial is resolved, close the case.
15. If denial persists after all attempts:
    a. Escalate to a specialized Aetna department (e.g., Clinical Review Committee).
    b. Consider writing off the claim if all avenues are exhausted."
135,Humana,Approved to pay,"Claim denied due to ""Approved to pay"" status:

1. Review software denial in Payspan/Vital Systems for code S9500/S9501/S9338/S9379/S9359/S9361/S99601/S99602.
2. Check if denial status matches ""Approved to pay"".
3. If yes, proceed to step 4. If not, investigate other denial reasons.
4. Call Humana for further clarification on denial.
5. If Humana representative confirms claim initially denied incorrectly:
   a. Note the date claim was processed and paid (e.g., 05/18/2023).
   b. Record allowed amount and paid amount (including coinsurance/PTR if applicable).
   c. Document representative's name (if available).
6. If Humana representative confirms claim is correct as initially denied:
   a. Investigate further (e.g., review medical records, payment terms).
   b. Consider filing an appeal.
   c. Document all conversation details.
7. For claims showing ""Approved to pay"" status but later processed:
   a. Verify the payment date and amount.
   b. Check if a PTR (Patient Responsibility) was applied.
   c. Note if any coinsurance was applied.
8. After confirmation of incorrect initial denial:
   a. Upload all relevant documents to Vital Systems.
   b. Update claim notes in Payspan/Vital Systems with new information.
   c. Set a follow-up date to check if payment has been received.
9. If claim is still not showing ""Paid"" status after set follow-up time:
   a. Repeat steps 4-7.
   b. Consider escalating to a supervisor if payment doesn't arrive within a reasonable timeframe.
10. For future reference:
    a. Document all actions taken in the claim notes.
    b. Share findings with the team to prevent similar incorrect denials in the future.
    c. If patterns emerge, suggest process improvements to management."
136,PPO One - United Healthcare Medicare PPO-AARP,Claim in Process,"Claim is still in process:

1. Review claim status in software (Waystar/Caretend/Payspan).
   - If claim submitted and no response received, proceed to step 2.
   - If claim accepted by payer, note the acceptance date and proceed to step 2.

2. Check claim status in Insurance web portal (UHC Provider Portal).
   - Verify if claim is in processing, pending, or acknowledgement stage.

3. Call PPO One - United Healthcare Medicare PPO-AARP.
   - Inquire about claim status, receipt date, and expected processing time.
   - Note the representative's name and any additional information provided.

4. Determine normal processing time (30-60 calendar days from receipt date).
   - If claim is within normal processing time, proceed to step 5.
   - If claim exceeds normal processing time, proceed to step 6.

5. Allow additional time for processing (up to 30 calendar days).
   - Note the date until which the claim will be monitored for further action.
   - Set a reminder for this date.

6. Investigate possible delays or issues.
   - Review payer's processing schedule for any known delays.
   - Check for any pending required documentation from the provider.

7. If claim remains unprocessed after allowed time:
   - Prepare a written follow-up to the payer.
   - Request status update and escalate to supervisor if necessary.

8. If claim is processed but paid incorrectly:
   - Review the payment for accuracy.
   - If underpaid or denied incorrectly, initiate an appeal process.

9. For persistent issues or claims not resolving:
   - Consult with team lead or supervisor for further guidance.
   - Consider escalation to payer's specialized department (e.g., claims specialist).

10. Document all actions taken in the claim notes:
    - Include dates, representative names, and any important conversation details.
    - Note any pending actions or follow-ups required.

11. Regularly monitor claim status until resolution:
    - Check software and portal at set intervals.
    - Follow up with payer if no progress is observed.

12. If claim is eventually paid correctly, close the case.
    - Update the claim status in the software.
    - Remove any notes indicating pending action.

13. If claim remains unresolved after multiple attempts:
    - Consider filing a formal complaint with the payer.
    - Evaluate the need for legal action or professional assistance.

14. Update internal processes based on unique challenges encountered:
    - Share lessons learned with the team for future reference.
    - Suggest improvements to the claim submission or follow-up process."
137,Blue Cross of Virginia - ITS,Authorization issue,"Claim denied due to absent precertification/authorization/notification/pre-treatment:

1. Review claim status in Care tend or software
   - Check for balance amount and claim processing status

2. Verify denial reason in EOB from Waystar
   - Confirm if denial is due to absent precertification/authorization/notification

3. Check Authorization TAB and Document manager
   - Look for existing authorization

4. If authorization not found:
   a. Call Blue Cross of Virginia - ITS
      - Inquire about denial and confirmation of authorization requirement
      - Verify if reprocessing was attempted
      - Check if reconsideration was previously submitted
   b. If reprocessing is mentioned:
      - Verify reprocessing outcome and date
      - Note if authorization is still required

5. If previous claims with same HCPCS were paid without authorization:
   a. Call Blue Cross of Virginia - FEP
      - Speak with representative and inquire about authorization requirement
      - Request an enquiry to be sent to the home plan to verify if authorization is needed for the specific HCPCS and member
   b. Allow 15 more days as per representative's suggestion

6. If authorization is confirmed as required:
   a. Check Clinical Record and DT for work order
      - If found, verify validity
      - If not found, task client to provide valid work order
   b. Prepare reconsideration
      - Gather medical documents (Clinical Record, Work Order, DT, Nursing notes)
      - Submit reconsideration through availity or mail (to PO BOX 27401 Richmond VA 23279)
   c. Note reconsideration timeline (usually 180 days from denial date)

7. If reconsideration was previously submitted and upheld:
   a. Maintain the same denial
   b. Task client for further assistance

8. If patient information is incorrect in the claim form:
   a. Call Blue Cross of Virginia - ITS to clarify patient name
   b. Void the claim if necessary
   c. Task client to submit fresh claim with correct patient name and approved authorization

9. For pending authorizations:
   a. Monitor authorization status regularly
   b. Follow up with insurance if no update within a reasonable timeframe

10. Document all actions taken in the claim notes

11. If claim remains unresolved after reconsideration:
    a. Escalate to supervisor
    b. Consider filing a formal appeal if necessary

12. Regularly check for updates on reconsideration status or reprocessing outcomes"
138,Medicaid of Mississippi,Primary insurance EOB,"Claim denied due to invalid primary information:

1. Review claim status in Caretend
   - If claim is denied, note the denial reason and next steps
   - If claim is pending, check for further review

2. Check for claim in Waystar
   - If found, proceed to step 4
   - If not found, proceed to step 3

3. Call Medicaid of Mississippi
   - Inquire about claim status
   - Note the specific denial reason provided by the representative

4. Verify payment status
   - If payment is received, proceed to step 5
   - If no payment is received, proceed to step 6

5. If payment is received:
   - Check the invoice number and payment details
   - If payment is under a different invoice (e.g., #1391300 or #1305462), proceed to step 6
   - If payment is under the expected invoice, resolve the claim

6. Determine the nature of the primary information discrepancy
   - If primary EOB doesn't match with secondary claim, proceed to step 7
   - If Medicare information is involved, proceed to step 8
   - If single line item for date range causes issue, note this scenario

7. For non-Medicare discrepancies:
   - Task the client to submit corrected claim with valid primary payer information
   - Provide instructions on using the portal for correction

8. For Medicare-related discrepancies:
   - Verify if Medicare information is valid
   - If Medicare information is incorrect, task the client to submit fresh claim with valid Medicare information
   - If Medicare information is correct, proceed to step 7

9. Special scenarios:
   - If claim got no response received, proceed to step 3
   - If representative suggests submitting a fresh claim with valid information, follow their advice

10. Follow-up actions:
    - Monitor claim status after resubmission
    - If further issues arise, repeat the process or escalate as necessary

11. Documentation:
    - Record all actions, conversations, and decisions in the claim notes
    - Note the claim number and any relevant case numbers

12. Time-sensitive actions:
    - For claims with specific deadline (e.g., 09/23/2024), prioritize immediate action
    - For claims without deadline, aim for resolution within 5-7 business days"
139,Aetna,Partially paid,"Claim Partially Paid (PPD) Workflow:

1. Review claim status in software (e.g., Caretend, Caretend found that claim was processed towards Copayment).
2. Check Waystar EOB (Electronic Order Brief) for payment status and processing dates.
3. If EOB not found in Waystar, proceed to step 4.
4. Verify claim processing in software (e.g., Availity, Caretend).
5. Check Availity fee schedule to verify allowed amounts for billed codes.
6. If underpayment detected:
   a. Call Aetna for underpayment information.
   b. Explain the underpayment issue and request reprocessing.
   c. If representative agrees to reprocess, note the case number and turnaround time (TAT).
   d. If representative doesn't agree, proceed to step 7.
7. Send claim back for reprocessing.
8. Allow 30 days for claim reprocessing.
9. If no improvement after 30 days, repeat steps 6-8 or escalate to a supervisor.
10. For contractual adjustments:
    a. Place adjustment form in the path.
    b. Task the claim to the client for contractual adjustment.
11. If claim is fully processed as deductible:
    a. Note the processed amount and deductible information.
    b. Decide if further action is needed based on contractual requirements.
12. For split claims:
    a. Verify that the claim was split and submitted.
    b. Request split information from Aetna representative.
    c. If split information not available, allow 30 days for reprocessing.
13. If claim is partially paid due to copayment:
    a. Verify that the claim was processed towards copayment.
    b. Determine if copayment amount is correct according to the contract.
    c. If incorrect, follow up with Aetna for adjustment.
14. For claims with multiple lines (e.g., J3370, J0696, S9494):
    a. Review each line separately for underpayment or incorrect processing.
    b. Take appropriate action for each line (reprocessing, adjustment, etc.).
15. If claim status remains unresolved:
    a. Escalate to a supervisor.
    b. Consider filing a formal appeal if necessary.
16. Once resolved:
    a. Task the claim to the client for posting of any received payments.
    b. Update the claim status in the software."
140,Medicaid of North Carolina - WellCare,Invalid  or Missing HCPCS/DX/POS/MOD,"Claim denied due to invalid HCPCS/DX/POS/MOD:

1. Review claim submission in Payspan/Caretend
   - Check if claim was submitted
   - Verify denial reason

2. If no EOB found in Waystar:
   - Proceed to next step

3. Call Medicaid of North Carolina - WellCare
   - Inquire about claim status
   - Confirm denial reason

4. If denial is due to invalid diagnosis (DX code):
   - Check claim for DX code
   - Verify if DX code is correct
   - If incorrect, task client to submit corrected claim with valid DX code

5. If DX code is correct but not properly listed:
   - Confirm with payer that DX code should be listed as secondary
   - Task client to submit corrected claim with DX code as secondary

6. If denial is due to invalid procedure code:
   - Check claim for procedure code (HCPCS)
   - Verify if HCPCS is correct for the service provided
   - If incorrect, task client to send corrected claim with appropriate HCPCS

7. For HCPCS S9379:
   - Ensure first billing procedure code (S9325, S9329, or S9494) is listed
   - If missing, task client to submit corrected claim with appropriate first billing procedure code

8. For HCPCS T1030:
   - Ensure first billing procedure code (S9325, S9329, or S9494) is listed
   - If missing, task client to send corrected claim with appropriate first billing procedure code

9. If claim involves Code T1030 and S9494:
   - Check invoice for corresponding DOS
   - If found, verify if Code T1030 can be submitted with Code S9494
   - If compatible, task client to submit corrected claim with both codes

10. For all corrected claims:
    - Check turnaround time
    - If within 365 days from DOS, submit corrected claim
    - If outside 365 days, consider appeal
    - Note appeal timeline (usually 30 days or 90 days from denial date)

11. If payment was received for the procedure in the past:
    - Document payment history
    - Use this information when resubmitting corrected claim

12. For all claims:
    - Task client to submit corrected claim
    - Provide specific instructions on what needs to be corrected
    - Include payor ID (e.g., #14163) if applicable

13. After submitting corrected claim:
    - Set a follow-up date to check status
    - If denied again, restart process from step 3

14. If claim cannot be corrected:
    - Consider appeal process
    - Gather necessary documentation
    - Submit appeal within appropriate timeframe

15. After resolving the claim:
    - Upload all relevant documents to Vital Systems
    - Update claim status in Payspan/Caretend

16. If additional information is needed:
    - Notify client of requirements
    - Provide specific details on what is needed (e.g., diagnosis code, patient information)

17. For all scenarios:
    - Document every action taken in the claim notes
    - Update claim status in Payspan/Caretend after each action"
141,Medicaid of Mississippi - Secondary,Incorrect/Missing provider information,"Claim denied due to incorrect provider information (NPI and taxonomy code):

1. Review claim status in CareTend software
   - Confirm denial reason is ""Incorrect provider information""

2. Check claim status in Waystar
   - Verify denial code N433 and reason ""Resubmit claim using only National Provider Identifier (NPI)""

3. Call Medicaid of Mississippi - Medical
   - Inquire about specific denial reason
   - Note if REP confirms NPI is the issue but refuses further information

4. Verify provider information in NPPES registry
   - Check NPI number (#1578575379 is active in most scenarios)
   - Identify correct taxonomy code (usually 332BP3500X or 332B00000X for Durable Medical Equipment)

5. Compare billed taxonomy codes
   - Check software-billed taxonomy code (often 251F00000X or similar)
   - Compare with Waystar-provided taxonomy code (usually 3336H0001X or similar)

6. If taxonomy codes don't match:
   a. Attempt to edit claim in software to update taxonomy code
      - If editing is possible, update to correct taxonomy code
      - If editing is not possible, proceed to step 7
   b. Task client to send corrected claim
      - Provide correct taxonomy code (332BP3500X or 332B00000X)
      - Inform about fresh claim and corrected claim submission timeframe (365 days from DOS)

7. If NPI is the primary issue:
   a. Request NPI verification from provider
   b. Once NPI is confirmed correct, proceed to step 6

8. For claims with multiple HCPCS codes (e.g., B4161, S9341):
   a. Review each code separately in CareTend and Waystar
   b. Address potential issues for each code individually

9. If unable to resolve:
   a. Consider raising an appeal with necessary documentation
   b. Consult with supervisor for further guidance

10. Document all actions taken in the claim notes for future reference

11. Set a follow-up date to check on the status of the resubmitted claim

12. If denial persists after correction:
    a. Re-evaluate all steps taken
    b. Consider contacting Medicaid for further clarification
    c. Prepare for potential escalation"
142,Blue Cross of Alabama - ITS,Medical records,"Claim denied due to missing patient medical record:

1. Review claim status in software (Caretend/Payspan)
   - Confirm denial reason is ""Missing patient medical record for this service"" or ""An attachment is required to adjudicate this claim/service""

2. Check EOB in Waystar
   - Verify denial date and reason

3. Review medical records in Document Manager
   - Look for Delivery Ticket, Work Order, RX DT, Clinical Records
   - If clinical records not found, task the claim to the client to request clinical records

4. If clinical records found:
   a. Verify RX DT and clinical records match the claim period
   b. Prepare appeal with medical records
   c. Submit appeal through Fax to Blue Cross of Alabama - ITS
      - Address: PO BOX 995 Birmingham AL 35298
      - Fax: 205-733-7200
      - Attn: ITS claims appeal

5. If clinical records not found:
   a. Note down mailing address and fax number for future reference
      - Mail Address: PO BOX 12185 Birmingham Alabama 35202-2185
      - Fax Number: 205-220-9562
   b. Task the claim to the client to request clinical records

6. For claims with submitted medical records:
   a. Check previous user calls to verify medical record status
   b. If medical record is still in review after 60-90 days:
      - Call Blue Cross of Alabama - ITS
      - Inquire about medical record status
      - Allow additional time for processing
   c. If medical record not in review after 60-90 days:
      - Submit appeal with medical records (step 4)

7. If claim has been previously appealed:
   a. Review all previous actions and appeals
   b. If new information is available (e.g., newly obtained clinical records):
      - Submit new appeal with updated information
   c. If no new information is available:
      - Consider escalating to a supervisor for further guidance

8. After submitting appeal or allowing additional processing time:
   - Set a follow-up date of 30 days to check claim status

9. If claim remains denied after all appeals:
   - Consider writing off the claim or escalating to a specialist for further review

10. Document all actions taken in the claim notes for future reference"
143,PPO One - United Healthcare Medicare Advantage,Non-covered charges/Services,"Claim denied due to non-covered charges:

1. Review claim status in software
   - Check if claim has been billed to UHC and a denial has been posted

2. Verify claim status in UHC provider portal
   - Look for EOB and confirm denial reason (non-covered charges)
   - Note the date of denial

3. Check patient insurance policy
   - Look for Optum RX or other pharmacy plan coverage

4. Verify eligibility for Optum RX in UHC portal
   - Confirm if patient has active pharmacy coverage for the DOS
   - Note the Member ID and effective dates

5. If claim is already paid by Express Scripts:
   - Check software to verify claim status
   - Task client to bill drug codes to the correct pharmacy (Express Scripts or Optum RX)

6. If claim is not paid by Express Scripts:
   - Task client to bill the drug code to Optum RX
   - Ensure to use the correct Optum RX Member ID

7. For invalid or incorrect procedure codes:
   - Request valid procedure code from the client
   - Once obtained, submit a corrected claim

8. If no previous payments received for billed procedure codes:
   - Review Medicare guidelines for correct coding
   - Task client to send a corrected claim with appropriate codes

9. For claims with multiple denial reasons:
   - Address each reason separately
   - Submit corrected claims or requests for valid procedure codes as needed

10. If all options are exhausted:
    - Consider appealing the denial
    - Gather all relevant documentation and submit an appeal

11. Throughout the process:
    - Keep detailed notes of all actions taken
    - Update the claim status in the software after each action
    - Set follow-up dates for any pending actions

12. If multiple denials are observed for the same patient:
    - Investigate patterns in coding or coverage
    - Consult with the coding department for Medicare-specific guidelines

13. For urgent matters:
    - Prioritize claims with immediate payment impact
    - Consider calling UHC for urgent resolution

14. Document all communication:
    - Record call reference numbers
    - Note the name of any representative spoken to

15. Regularly review and update processes:
    - Share knowledge with team members
    - Improve procedures based on new information or successful resolutions"
144,United Healthcare Medicare Dual Complete - DOS Pri,Non-covered charges/Services,"Claim denied due to ""Not covered charges"" or ""Claim/service not covered by this payer/contractor"":

1. Review claim status in software (e.g., Care tend, Payspan).
2. Check United Healthcare (UHC) portal to verify claim status and denial reason.
3. If denial is confirmed:
   a. Note the denial date and reason.
   b. Check for any specific instructions from the payer.
4. Call UHC customer service (877-842-3210) to inquire about the denial.
5. If denial is confirmed:
   a. Ask for the specific reason and any required documentation.
   b. Inquire about the coverage status of the billed code (e.g., S9502).
6. If missing documentation is identified (e.g., pricing sheet):
   a. Check software for availability of the missing documentation.
   b. If found, submit the documentation to the payer.
   c. If not found, task the client to provide the missing documentation.
7. If appeal is necessary:
   a. Prepare an appeal with relevant contract information.
   b. Include any supporting documentation (e.g., proof of coverage for S9502).
   c. Submit the appeal via the UHC portal.
8. If claim is denied due to incorrect payer/contractor:
   a. Note the suggested alternative payer (e.g., PPO1).
   b. Record the address and any necessary submission details (e.g., PPO1 address, Payer ID).
   c. Task the client to submit the claim to the suggested payer.
9. For claims requiring reprocessing:
   a. Ensure all necessary documentation is included.
   b. Use the correct payer ID (e.g., 87726 for PPO1 submissions).
10. If no response is received:
    a. Recheck all previous steps for errors.
    b. Consider escalating the issue to a supervisor.
11. Document all actions taken in the claim notes, including:
    a. Date of all calls and checks
    b. Names of spoken representatives
    c. Specific instructions or resolutions obtained
12. Set a follow-up date based on the payer's processing timeline (e.g., 30 days for appeal)
13. If claim is not resolved within the set timeframe:
    a. Repeat steps 4-12 as necessary
    b. Consider filing a complaint with the Medicare Administrative Contractor (MAC) if persistent denial

Note: Timelines may vary based on the specific payer and claim type. Adjust accordingly."
145,Blue Cross of Alabama - FEP,Billing Issue,"Claim denied due to ""Payment is denied when performed/billed by this type of provider in this type of facility""

1. Review claim status in software (Caretend/Payspan)
   - Confirm denial reason matches ""Payment is denied when performed/billed by this type of provider in this type of facility""

2. Check crossover EOB (if applicable)
   - Verify denial reason and date
   - Note any kit code submissions or per-diem codes involved

3. Review previous claims for similar services
   - Look for claims where payment was received for same or similar services
   - Note any corrected claims submitted with per-diem codes that were successful

4. Check BCBS of AL portal for plan information
   - Verify if the patient has a Preferred Provider Organization (PPO) plan

5. If A4223 GY is billed:
   a. Attempt to process claim as per-diem
   b. If unsuccessful, submit corrected claim with HCPCS S9500 or S9500 SH

6. If S9500 or S9500 SH is billed:
   a. Verify if billed as kit code
   b. If kit code, submit corrected claim with appropriate per-diem code
   c. If not kit code, resubmit with correct kit code designation (S9500/S9500 SH)

7. If S9373 or S9374 is billed:
   a. Verify if billed as kit code
   b. If kit code, submit corrected claim with appropriate per-diem code
   c. If not kit code, resubmit with correct kit code designation

8. For Medicare cross-over claims:
   a. Check Medicare's response to kit code submission
   b. Update per-diem code in Caretend software if necessary

9. If claim was initially processed by Medicare:
   a. Submit fresh claim to Medicare for services performed
   b. Task client to submit fresh claim with appropriate dates

10. For partial payments:
    a. Verify allowed amount for each code
    b. Call BCBS of AL to request reprocessing
    c. Send claim for reprocessing if representative agrees

11. Resubmission guidelines:
    a. Ensure corrected claims are submitted within 60-day timely filing window
    b. Verify TFL (Timely Filing Limit) for corrected claims is 15 months from denial date

12. If all attempts to resolve denial are unsuccessful:
    a. Escalate to supervisor
    b. Consider filing a formal appeal with necessary documentation

13. Task client to:
    a. Submit fresh claim to Medicare for any denied services
    b. Provide updated patient information (e.g., new address, phone number)

14. Update all relevant software systems with any changes or corrections made

15. Document all actions taken in the claim notes for future reference"
146,Humana,Past TFL,"Claim denied due to Past Time Limit for Filing (TFL):

1. Review claim status in Caretend or software.
   - Confirm denial reason is ""Past TFL"" or ""Time limit for filing has expired"".

2. Check claim status in Waystar.
   - Verify billing date, receipt date, and denial date.
   - Look for Electronic Remittance Notice (EOB) or claim processing status.

3. If EOB is found in Waystar or Availity:
   - Note the denial reason, date, and any specific details.
   - Verify if the claim was processed as corrected (e.g., HCPCS change).

4. Call Humana insurance (800-523-0023 or applicable number):
   - Confirm claim receipt date and denial date.
   - Ask for the Time Limit for Filing (TFL) or Period for Timely Filing (PTF).
   - Note if the claim was processed as original or corrected.

5. Determine the correct TFL:
   - For original claims, typically 120-150 days from DOS.
   - For corrected claims, usually 12 months from the original claim's process date.
   - For specific carrier policies (e.g., Humana), verify the TFL.

6. Check for Proof of Timely Filing (POTFL):
   - Look in Waystar or the patient's medical records.
   - If found, proceed to appeal with POTFL.
   - If not found, continue to step 7.

7. Verify the claim was billed within the TFL:
   - If within TFL, proceed to step 8.
   - If beyond TFL, proceed to step 9.

8. Appeal the denial if within TFL:
   - Gather necessary documentation (e.g., POTFL, proof of mailing).
   - Submit appeal through Humana's designated process.

9. If claim was billed beyond TFL:
   - Task the claim to the client for adjustment approval.
   - Prepare for potential adjustment or write-off.

10. For Dual Complete Plan patients:
    - Verify the 12-month TFL from DOS.
    - If within TFL, proceed to step 8 for appeal.
    - If beyond TFL, task for adjustment as in step 9.

11. For corrected claims:
    - Verify the corrected claim was submitted within the allowed timeframe.
    - If within timeframe, proceed to step 8 for appeal.
    - If beyond timeframe, task for adjustment as in step 9.

12. Check patient insurance policy for other coverage:
    - If other insurance is active, verify TFL and proceed accordingly.

13. Place adjustment form in Conet Portal (if applicable):
    - For balance adjustments due to late filing.

14. Task claim to client for final action:
    - Include details on TFL violation, potential adjustment, and write-off risks.

15. Document all actions taken in the claim notes:
    - Include dates, contact names, and reference numbers where applicable."
